county_code,county,ntl_mean,ntl_sum,ntl_max,ntl_median,year
130802,双桥区,2.897650194,10061.60736,67.09473419,0.778478643,2024
530925,双江拉祜族佤族布朗族傣族自治县,0.188402218,1782.879008,65.85197449,0.012860134,2024
659007,双河市,0.551495407,2296.033259,22.03046417,0.0,2024
510116,双流区,15.98661693,79689.02232,158.3527222,9.455943582,2024
430502,双清区,6.044832966,3708.30353,32.79502869,3.124814414,2024
540630,双湖县,0.004187641,2362.454224,8.503583908,1.3e-07,2024
130803,双滦区,2.441934125,5883.567352,43.71383286,0.873957525,2024
431123,双牌县,0.102336567,790.6619487,13.64215183,0.0,2024
220382,双辽市,0.431982971,7416.796951,63.91781616,0.0,2024
220112,双阳区,1.629589864,15099.06394,105.9995041,0.82000308,2024
511504,叙州区,1.041573586,12268.09075,61.07118607,0.0,2024
510524,叙永县,0.118319724,1592.773257,29.16591072,0.0,2024
450303,叠彩区,8.18067774,1840.62041,39.26830673,4.109692629,2024
433126,古丈县,0.08117824,477.5387988,12.31807518,0.0,2024
140181,古交市,0.847052257,6501.564543,63.56747437,0.0,2024
130204,古冶区,5.183115959,6687.784685,44.32257843,3.102572089,2024
141025,古县,0.343673355,2044.620609,39.22855759,0.0,2024
530702,古城区,2.070528856,11759.04492,114.1773376,0.008839673,2024
210702,古塔区,12.50785908,4441.221932,71.12423706,3.282008065,2024
620622,古浪县,0.151707804,3864.464207,48.05944824,0.0,2024
350922,古田县,0.498897679,5329.395222,48.68112946,0.0,2024
510525,古蔺县,0.211069748,3055.296686,29.38838959,0.0,2024
321183,句容市,2.287482745,14894.58956,34.75033569,1.371615507,2024
411104,召陵区,4.790572804,9977.598384,56.07364655,1.370056054,2024
659008,可克达拉市,1.836982709,10160.74758,77.48182678,0.001702223,2024
710013,台东县,0.687415637,10698.77792,46.14586258,0.0,2024
710016,台中市,9.950243497,97701.636,100.581955,2.751501026,2024
370405,台儿庄区,2.198822975,5691.200573,35.34407806,1.117001966,2024
410927,台前县,1.57426815,3442.794798,18.85893822,1.188224535,2024
710009,台北市,25.32454179,30332.04786,95.68238831,16.30411349,2024
710014,台南市,8.740115742,86074.44213,101.8789673,4.749364501,2024
210321,台安县,0.902280851,6700.801124,59.69822311,0.693147618,2024
440781,台山市,1.529517423,20995.54171,52.89551544,0.873345372,2024
350103,台江区,51.51723288,3981.777031,74.56556702,52.12481308,2024
522630,台江县,0.224290744,1089.042386,33.40676498,0.0,2024
451002,右江区,0.447962539,7342.966809,63.38747406,0.0,2024
140623,右玉县,0.355681031,3718.759554,48.05186462,0.0,2024
410422,叶县,1.598895467,10708.11645,96.92139435,0.000141,2024
653126,叶城县,0.046762419,6705.890919,36.61180496,0.0,2024
341504,叶集区,1.501949668,4022.28011,30.11193657,0.0,2024
623001,合作市,0.31486322,3218.183632,84.40784454,0.00829805,2024
451381,合山市,0.520972553,835.5071776,14.73713589,0.0,2024
500117,合川区,0.872280851,9420.085877,38.91835022,0.0,2024
621024,合水县,0.439274315,6383.863372,96.42888641,0.007629577,2024
510522,合江县,0.256843018,2849.469829,27.11373138,0.0,2024
450521,合浦县,0.742531923,7800.676399,31.3705368,0.0,2024
610524,合阳县,0.636786949,4093.273998,41.38215256,0.0,2024
141028,吉县,0.128811672,1134.278203,7.777020454,0.0,2024
360821,吉安县,0.499345737,4773.651255,24.26891327,0.0,2024
360802,吉州区,3.90378241,7470.323948,45.57015991,1.122350088,2024
654326,吉木乃县,0.075576643,3184.509882,68.83911896,0.002189183,2024
652327,吉木萨尔县,0.864490505,39377.64423,230.9781342,0.053147098,2024
360822,吉水县,0.132411669,1500.923132,10.53576279,0.0,2024
460203,吉阳区,6.428985431,9945.993426,53.76350021,3.366098806,2024
540234,吉隆县,0.01284929,530.7802277,11.79173279,0.0,2024
433101,吉首市,1.306248761,6422.989082,89.78015137,0.000779,2024
632301,同仁市,0.193939828,3053.422876,60.89108658,0.0,2024
350212,同安区,8.811813424,25333.54892,67.21161652,2.226447007,2024
632522,同德县,0.058426142,1322.909225,33.60643768,0.0,2024
640324,同心县,0.307955059,6813.233966,42.08889008,0.0,2024
230881,同江市,0.117396226,4361.926291,22.75974464,0.0,2024
511803,名山区,1.05085318,3000.371275,40.42214203,0.0,2024
230402,向阳区,18.04147827,901.9324119,41.04851532,14.33691788,2024
230803,向阳区,18.10638162,5160.673788,94.77549744,8.207931527,2024
430611,君山区,0.53530239,1493.911414,15.83326149,0.0,2024
340522,含山县,1.314488924,6368.265829,33.20201492,0.0,2024
320681,启东市,3.432528498,24724.19317,133.4910126,1.45342358,2024
320506,吴中区,8.192276306,93860.77298,103.6906128,1.28007867,2024
330502,吴兴区,9.096127376,36694.52693,91.58328247,4.255105833,2024
610829,吴堡县,0.6457579,1402.540575,26.97196388,0.0,2024
440883,吴川市,3.957481239,14609.3291,81.9101944,2.224144452,2024
