year,gdp_per_capita,county_code,gdp,gdp_density,county,economy_unit,match_status,gb,year_display
2024,,130530,66.4819,,新河县,亿元,matched,156130530,2024
2024,,130531,81.7997,,广宗县,亿元,matched,156130531,2024
2024,,130532,128.7171,,平乡县,亿元,matched,156130532,2024
2024,,130533,140.0017,,威县,亿元,matched,156130533,2024
2024,,130534,187.7798,,清河县,亿元,matched,156130534,2024
2024,,130535,111.2451,,临西县,亿元,matched,156130535,2024
2024,,130581,133.5193,,南宫市,亿元,matched,156130581,2024
2024,,130582,183.7738,,沙河市,亿元,matched,156130582,2024
2024,,130602,,,竞秀区,亿元,no_data,156130602,2024
2024,,130606,,,莲池区,亿元,no_data,156130606,2024
2024,,130607,168.9731,,满城区,亿元,matched,156130607,2024
2024,,130608,191.1745,,清苑区,亿元,matched,156130608,2024
2024,,130609,224.9778,,徐水区,亿元,matched,156130609,2024
2024,,130623,117.7708,,涞水县,亿元,matched,156130623,2024
2024,,130624,81.0727,,阜平县,亿元,matched,156130624,2024
2024,,130626,220.1825,,定兴县,亿元,matched,156130626,2024
2024,,130627,171.1959,,唐县,亿元,matched,156130627,2024
2024,,130628,135.2792,,高阳县,亿元,matched,156130628,2024
2024,,130629,219.4751,,容城县,亿元,matched,156130629,2024
2024,,130630,,,涞源县,亿元,no_data,156130630,2024
2024,,130631,,,望都县,亿元,no_data,156130631,2024
2024,,130632,,,安新县,亿元,no_data,156130632,2024
2024,,130633,,,易县,亿元,no_data,156130633,2024
2024,,130634,,,曲阳县,亿元,no_data,156130634,2024
2024,,130635,,,蠡县,亿元,no_data,156130635,2024
2024,,130636,,,顺平县,亿元,no_data,156130636,2024
2024,,130637,,,博野县,亿元,no_data,156130637,2024
2024,,130638,,,雄县,亿元,no_data,156130638,2024
2024,,130681,,,涿州市,亿元,no_data,156130681,2024
2024,,130682,,,定州市,亿元,no_data,156130682,2024
2024,,130683,,,安国市,亿元,no_data,156130683,2024
2024,,130684,,,高碑店市,亿元,no_data,156130684,2024
2024,,130702,,,桥东区,亿元,no_data,156130702,2024
2024,,130703,,,桥西区,亿元,no_data,156130703,2024
2024,,130705,,,宣化区,亿元,no_data,156130705,2024
2024,,130706,,,下花园区,亿元,no_data,156130706,2024
2024,,130708,90.4142,,万全区,亿元,matched,156130708,2024
2024,,130709,44.9669,,崇礼区,亿元,matched,156130709,2024
2024,,130722,191.0555,,张北县,亿元,matched,156130722,2024
2024,,130723,88.1381,,康保县,亿元,matched,156130723,2024
2024,,130724,93.7109,,沽源县,亿元,matched,156130724,2024
2024,,130725,81.2986,,尚义县,亿元,matched,156130725,2024
2024,,130726,95.4683,,蔚县,亿元,matched,156130726,2024
2024,,130727,66.3799,,阳原县,亿元,matched,156130727,2024
2024,,130728,68.0441,,怀安县,亿元,matched,156130728,2024
2024,,130730,148.1059,,怀来县,亿元,matched,156130730,2024
2024,,130731,87.0689,,涿鹿县,亿元,matched,156130731,2024
2024,,130732,77.921,,赤城县,亿元,matched,156130732,2024
2024,,130802,,,双桥区,亿元,no_data,156130802,2024
2024,,130803,,,双滦区,亿元,no_data,156130803,2024
2024,,130804,,,鹰手营子矿区,亿元,no_data,156130804,2024
2024,,130821,168.312,,承德县,亿元,matched,156130821,2024
2024,,130822,128.3153,,兴隆县,亿元,matched,156130822,2024
2024,,130824,211.385,,滦平县,亿元,matched,156130824,2024
2024,,130825,196.3042,,隆化县,亿元,matched,156130825,2024
2024,,130826,201.2,,丰宁满族自治县,亿元,matched,156130826,2024
2024,,130827,141.0432,,宽城满族自治县,亿元,matched,156130827,2024
2024,,130828,216.1093,,围场满族蒙古族自治县,亿元,matched,156130828,2024
2024,,130881,180.6417,,平泉市,亿元,matched,156130881,2024
2024,,130902,,,新华区,亿元,no_data,156130902,2024
2024,,130903,,,运河区,亿元,no_data,156130903,2024
2024,,130921,284.1482,,沧县,亿元,matched,156130921,2024
2024,,130922,252.4079,,青县,亿元,matched,156130922,2024
2024,,130923,200.0584,,东光县,亿元,matched,156130923,2024
2024,,130924,88.7557,,海兴县,亿元,matched,156130924,2024
2024,,130925,149.9678,,盐山县,亿元,matched,156130925,2024
2024,,130926,169.3539,,肃宁县,亿元,matched,156130926,2024
2024,,130927,145.2529,,南皮县,亿元,matched,156130927,2024
2024,,130928,104.8535,,吴桥县,亿元,matched,156130928,2024
2024,,130929,273.9536,,献县,亿元,matched,156130929,2024
2024,,130930,114.5281,,孟村回族自治县,亿元,matched,156130930,2024
2024,,130981,303.2596,,泊头市,亿元,matched,156130981,2024
2024,,130982,702.2141,,任丘市,亿元,matched,156130982,2024
2024,,130983,908.8587,,黄骅市,亿元,matched,156130983,2024
2024,,130984,314.7566,,河间市,亿元,matched,156130984,2024
2024,,131002,,,安次区,亿元,no_data,156131002,2024
2024,,131003,,,广阳区,亿元,no_data,156131003,2024
2024,,131022,394.7015,,固安县,亿元,matched,156131022,2024
2024,,131023,249.5426,,永清县,亿元,matched,156131023,2024
2024,,131024,275.3605,,香河县,亿元,matched,156131024,2024
2024,,131025,235.9917,,大城县,亿元,matched,156131025,2024
2024,,131026,261.8603,,文安县,亿元,matched,156131026,2024
2024,,131028,175.0313,,大厂回族自治县,亿元,matched,156131028,2024
2024,,131081,481.7041,,霸州市,亿元,matched,156131081,2024
2024,,131082,673.8944,,三河市,亿元,matched,156131082,2024
2024,,131102,,,桃城区,亿元,no_data,156131102,2024
2024,,131103,,,冀州区,亿元,no_data,156131103,2024
2024,,131121,,,枣强县,亿元,no_data,156131121,2024
2024,,131122,,,武邑县,亿元,no_data,156131122,2024
2024,,131123,,,武强县,亿元,no_data,156131123,2024
2024,,131124,,,饶阳县,亿元,no_data,156131124,2024
2024,,131125,,,安平县,亿元,no_data,156131125,2024
2024,,131126,,,故城县,亿元,no_data,156131126,2024
2024,,131127,,,景县,亿元,no_data,156131127,2024
2024,,131128,,,阜城县,亿元,no_data,156131128,2024
2024,,131182,,,深州市,亿元,no_data,156131182,2024
2024,,140105,,,小店区,亿元,no_data,156140105,2024
2024,,140106,,,迎泽区,亿元,no_data,156140106,2024
2024,,140107,,,杏花岭区,亿元,no_data,156140107,2024
2024,,140108,,,尖草坪区,亿元,no_data,156140108,2024
2024,,140109,,,万柏林区,亿元,no_data,156140109,2024
2024,,140110,,,晋源区,亿元,no_data,156140110,2024
2024,,140121,392.7131,,清徐县,亿元,matched,156140121,2024
2024,,140122,118.5949,,阳曲县,亿元,matched,156140122,2024
2024,,140123,43.854,,娄烦县,亿元,matched,156140123,2024
2024,,140181,90.5773,,古交市,亿元,matched,156140181,2024
2024,,140212,,,新荣区,亿元,no_data,156140212,2024
2024,,140213,,,平城区,亿元,no_data,156140213,2024
2024,,140214,,,云冈区,亿元,no_data,156140214,2024
2024,,140215,121.8332,,云州区,亿元,matched,156140215,2024
2024,,140221,93.5622,,阳高县,亿元,matched,156140221,2024
2024,,140222,62.6045,,天镇县,亿元,matched,156140222,2024
2024,,140223,65.9178,,广灵县,亿元,matched,156140223,2024
2024,,140224,86.6191,,灵丘县,亿元,matched,156140224,2024
2024,,140225,65.9923,,浑源县,亿元,matched,156140225,2024
2024,,140226,151.4542,,左云县,亿元,matched,156140226,2024
2024,,140302,,,城区,亿元,no_data,156140302,2024
2024,,140303,,,矿区,亿元,no_data,156140303,2024
2024,,140311,,,郊区,亿元,no_data,156140311,2024
2024,,140321,146.271,,平定县,亿元,matched,156140321,2024
2024,,140322,155.1808,,盂县,亿元,matched,156140322,2024
2024,,140403,,,潞州区,亿元,no_data,156140403,2024
2024,,140404,,,上党区,亿元,no_data,156140404,2024
2024,,140405,,,屯留区,亿元,matched,156140405,2024
2024,,140406,,,潞城区,亿元,matched,156140406,2024
2024,,140423,472.5287,,襄垣县,亿元,matched,156140423,2024
2024,,140425,37.9025,,平顺县,亿元,matched,156140425,2024
2024,,140426,60.2284,,黎城县,亿元,matched,156140426,2024
