county_code,pop_total,pop_density,year
420704,702418,1139.5952,2019
522730,184824,121.7229,2019
420703,231722,489.7149,2019
420702,150453,304.7175,2019
440311,1061756,6754.8273,2019
610117,384820,1338.2332,2019
522732,293752,123.813,2019
440310,385271,2324.0963,2019
610118,581911,454.5192,2019
522731,357301,144.5465,2019
610115,689384,751.0158,2019
610116,1116842,698.6313,2019
610113,1224761,8095.5835,2019
610114,283282,1180.8796,2019
532532,99921,75.8718,2019
532531,231156,74.6692,2019
532530,366744,103.1283,2019
450123,311278,135.2121,2019
450125,356506,191.0973,2019
450124,407307,174.1355,2019
511603,262612,520.382,2019
211303,125877,197.9314,2019
211302,566271,1120.8697,2019
410902,771692,1926.3804,2019
511602,879606,856.1704,2019
610111,602510,1847.8508,2019
610112,824726,3148.9844,2019
450126,806257,349.7406,2019
341802,789447,305.3479,2019
430511,104741,1243.897,2019
440785,517465,305.0345,2019
440784,531426,492.0159,2019
440783,716811,432.7155,2019
222424,266555,30.2296,2019
610104,770762,20297.2691,2019
440781,975088,307.984,2019
610102,580394,19227.3808,2019
610103,661022,28903.578,2019
440309,1028469,5882.3763,2019
222426,235712,31.6828,2019
440308,188240,2518.4837,2019
440307,2027474,2986.3073,2019
440306,2569172,7025.2325,2019
440305,1136793,6583.1514,2019
440304,1344863,18256.8651,2019
440303,957931,12176.1857,2019
430503,355413,1661.3221,2019
430502,313760,2309.2096,2019
130227,402985,276.1641,2019
130224,605803,525.9221,2019
130225,549386,381.3247,2019
130229,702135,612.735,2019
371681,818755,651.1353,2019
430981,706857,332.3781,2019
610582,268823,397.5649,2019
610581,410876,257.0759,2019
441622,722654,235.2027,2019
441621,667850,183.8301,2019
441625,454856,113.3671,2019
533401,182750,15.9588,2019
441624,392426,172.3589,2019
441623,346113,153.5082,2019
511621,811021,542.5081,2019
511622,647164,671.7767,2019
511623,731767,383.014,2019
220221,421447,160.5442,2019
520102,870755,4181.2742,2019
520103,1120389,12020.6813,2019
222402,152411,134.3618,2019
222403,504482,42.8618,2019
610124,581048,197.0759,2019
222401,625338,366.3999,2019
222406,194926,38.5942,2019
451481,116629,182.952,2019
222404,240951,46.3688,2019
222405,148224,66.898,2019
510781,795566,292.2045,2019
451003,326954,137.7622,2019
130204,366758,1479.6747,2019
451002,388807,104.271,2019
130205,280242,1142.6557,2019
530381,1349608,223.464,2019
510302,303742,1956.4444,2019
130202,257742,1282.2216,2019
130203,832418,5087.9523,2019
510304,454578,1135.043,2019
130208,874007,718.4527,2019
510303,295741,725.6571,2019
210423,302365,77.2958,2019
130209,193730,136.0562,2019
210422,264012,61.6988,2019
210421,168935,99.6268,2019
130207,635700,487.9481,2019
610122,534931,266.6417,2019
130681,656198,876.6264,2019
130684,656956,976.1765,2019
520581,743992,290.7101,2019
130682,1195067,932.2927,2019
130683,394048,812.2986,2019
360113,294780,734.0202,2019
330703,332673,504.4138,2019
360111,659500,4977.4578,2019
360112,992695,469.1996,2019
441602,482195,1332.6764,2019
330702,790676,569.0725,2019
320904,734479,271.1291,2019
540124,33292,20.4722,2019
611002,552031,208.7158,2019
320902,933475,928.4087,2019
320903,743159,707.9912,2019
540127,46116,8.3919,2019
540121,52937,11.8579,2019
540122,48550,4.7449,2019
540123,29477,9.0154,2019
220284,528043,136.6882,2019
520521,797299,228.0915,2019
522701,461970,201.9435,2019
520523,586964,233.097,2019
360124,721426,370.2346,2019
520524,819114,285.573,2019
350322,861501,468.4634,2019
520525,694653,282.9289,2019
522702,294242,174.0501,2019
532504,544527,139.187,2019
530325,739203,227.0822,2019
520526,1320536,208.8486,2019
360123,194201,294.619,2019
532503,438923,201.9529,2019
530326,944057,160.6028,2019
520527,679174,209.9585,2019
623001,95461,45.7009,2019
532502,335628,172.9497,2019
530323,411579,147.5393,2019
360121,1062910,588.0685,2019
532501,481109,308.7288,2019
530324,569815,188.9372,2019
530322,651808,327.6572,2019
451024,311278,120.7996,2019
451027,192027,93.7477,2019
451026,161272,71.8094,2019
510723,437198,265.4506,2019
340521,474612,486.9605,2019
451022,370159,131.5048,2019
510722,1094086,411.9201,2019
510727,177492,29.9033,2019
510725,317121,219.6216,2019
340522,389641,379.0607,2019
510726,262356,85.041,2019
340523,476757,362.979,2019
451029,237434,43.1998,2019
220281,464933,73.0702,2019
451028,157019,59.3971,2019
220283,673582,148.5228,2019
220282,464843,71.268,2019
611026,160275,67.9156,2019
450181,899447,261.0082,2019
330726,455598,496.308,2019
330727,181161,151.4144,2019
451030,141509,48.0582,2019
130628,353071,714.0393,2019
130629,266062,857.9891,2019
330723,368165,234.5452,2019
140430,175958,133.1523,2019
140431,164904,64.7266,2019
211322,525593,107.786,2019
130633,561657,221.3346,2019
211321,474161,126.1583,2019
130634,602448,563.4748,2019
130631,263786,728.4759,2019
130632,440436,606.6968,2019
130637,256479,776.8079,2019
451031,356281,100.7949,2019
130638,377833,731.8464,2019
211324,376932,168.9824,2019
130635,526656,807.1075,2019
130636,308079,431.8446,2019
140429,193879,120.3933,2019
