year,gdp_per_capita,county_code,gdp,gdp_density,county,economy_unit,match_status,gb,year_display
2019,,110101,,,东城区,亿元,no_data,156110101,2019
2019,,110102,,,西城区,亿元,no_data,156110102,2019
2019,,110105,,,朝阳区,亿元,no_data,156110105,2019
2019,,110106,,,丰台区,亿元,no_data,156110106,2019
2019,,110107,,,石景山区,亿元,no_data,156110107,2019
2019,,110108,,,海淀区,亿元,no_data,156110108,2019
2019,,110109,,,门头沟区,亿元,no_data,156110109,2019
2019,,110111,,,房山区,亿元,no_data,156110111,2019
2019,,110112,1385.46,,通州区,亿元,matched,156110112,2019
2019,,110113,,,顺义区,亿元,no_data,156110113,2019
2019,,110114,,,昌平区,亿元,no_data,156110114,2019
2019,,110115,907.55,,大兴区,亿元,matched,156110115,2019
2019,,110116,399.8605,,怀柔区,亿元,matched,156110116,2019
2019,,110117,,,平谷区,亿元,no_data,156110117,2019
2019,,110118,,,密云区,亿元,no_data,156110118,2019
2019,,110119,,,延庆区,亿元,no_data,156110119,2019
2019,,120101,,,和平区,亿元,no_data,156120101,2019
2019,,120102,,,河东区,亿元,no_data,156120102,2019
2019,,120103,,,河西区,亿元,no_data,156120103,2019
2019,,120104,,,南开区,亿元,no_data,156120104,2019
2019,,120105,,,河北区,亿元,no_data,156120105,2019
2019,,120106,,,红桥区,亿元,no_data,156120106,2019
2019,,120110,,,东丽区,亿元,no_data,156120110,2019
2019,,120111,,,西青区,亿元,no_data,156120111,2019
2019,,120112,,,津南区,亿元,no_data,156120112,2019
2019,,120113,,,北辰区,亿元,no_data,156120113,2019
2019,,120114,,,武清区,亿元,no_data,156120114,2019
2019,,120115,,,宝坻区,亿元,no_data,156120115,2019
2019,,120116,,,滨海新区,亿元,no_data,156120116,2019
2019,,120117,,,宁河区,亿元,no_data,156120117,2019
2019,,120118,,,静海区,亿元,no_data,156120118,2019
2019,,120119,,,蓟州区,亿元,no_data,156120119,2019
2019,,130102,,,长安区,亿元,matched,156130102,2019
2019,,130104,,,桥西区,亿元,no_data,156130104,2019
2019,,130105,,,新华区,亿元,no_data,156130105,2019
2019,,130107,,,井陉矿区,亿元,no_data,156130107,2019
2019,,130108,,,裕华区,亿元,no_data,156130108,2019
2019,,130109,415.9863,,藁城区,亿元,matched,156130109,2019
2019,,130110,290.4093,,鹿泉区,亿元,matched,156130110,2019
2019,,130111,172.6388,,栾城区,亿元,matched,156130111,2019
2019,,130121,96.942,,井陉县,亿元,matched,156130121,2019
2019,,130123,280.3873,,正定县,亿元,matched,156130123,2019
2019,,130125,115.855,,行唐县,亿元,matched,156130125,2019
2019,,130126,102.2396,,灵寿县,亿元,matched,156130126,2019
2019,,130127,68.2053,,高邑县,亿元,matched,156130127,2019
2019,,130128,71.1374,,深泽县,亿元,matched,156130128,2019
2019,,130129,77.5381,,赞皇县,亿元,matched,156130129,2019
2019,,130130,129.9107,,无极县,亿元,matched,156130130,2019
2019,,130131,240.003,,平山县,亿元,matched,156130131,2019
2019,,130132,159.537,,元氏县,亿元,matched,156130132,2019
2019,,130133,141.1279,,赵县,亿元,matched,156130133,2019
2019,,130181,416.9907,,辛集市,亿元,matched,156130181,2019
2019,,130183,154.2222,,晋州市,亿元,matched,156130183,2019
2019,,130184,139.3397,,新乐市,亿元,matched,156130184,2019
2019,,130202,,,路南区,亿元,no_data,156130202,2019
2019,,130203,,,路北区,亿元,no_data,156130203,2019
2019,,130204,,,古冶区,亿元,no_data,156130204,2019
2019,,130205,,,开平区,亿元,no_data,156130205,2019
2019,,130207,657.0218,,丰南区,亿元,matched,156130207,2019
2019,,130208,875.1482,,丰润区,亿元,matched,156130208,2019
2019,,130209,630.4301,,曹妃甸区,亿元,matched,156130209,2019
2019,,130224,271.0469,,滦南县,亿元,matched,156130224,2019
2019,,130225,344.7451,,乐亭县,亿元,matched,156130225,2019
2019,,130227,320.682,,迁西县,亿元,matched,156130227,2019
2019,,130229,262.8512,,玉田县,亿元,matched,156130229,2019
2019,,130281,424.2634,,遵化市,亿元,matched,156130281,2019
2019,,130283,957.7765,,迁安市,亿元,matched,156130283,2019
2019,,130284,396.2438,,滦州市,亿元,matched,156130284,2019
2019,,130302,,,海港区,亿元,no_data,156130302,2019
2019,,130303,,,山海关区,亿元,no_data,156130303,2019
2019,,130304,,,北戴河区,亿元,no_data,156130304,2019
2019,,130306,125.4202,,抚宁区,亿元,matched,156130306,2019
2019,,130321,123.8792,,青龙满族自治县,亿元,matched,156130321,2019
2019,,130322,286.3713,,昌黎县,亿元,matched,156130322,2019
2019,,130324,115.1671,,卢龙县,亿元,matched,156130324,2019
2019,,130402,,,邯山区,亿元,no_data,156130402,2019
2019,,130403,,,丛台区,亿元,no_data,156130403,2019
2019,,130404,,,复兴区,亿元,no_data,156130404,2019
2019,,130406,,,峰峰矿区,亿元,no_data,156130406,2019
2019,,130407,149.518,,肥乡区,亿元,matched,156130407,2019
2019,,130408,218.5705,,永年区,亿元,matched,156130408,2019
2019,,130423,158.1221,,临漳县,亿元,matched,156130423,2019
2019,,130424,164.7204,,成安县,亿元,matched,156130424,2019
2019,,130425,147.954,,大名县,亿元,matched,156130425,2019
2019,,130426,164.9112,,涉县,亿元,matched,156130426,2019
2019,,130427,79.924,,磁县,亿元,matched,156130427,2019
2019,,130430,93.4742,,邱县,亿元,matched,156130430,2019
2019,,130431,93.5086,,鸡泽县,亿元,matched,156130431,2019
2019,,130432,93.1577,,广平县,亿元,matched,156130432,2019
2019,,130433,91.5037,,馆陶县,亿元,matched,156130433,2019
2019,,130434,202.7531,,魏县,亿元,matched,156130434,2019
2019,,130435,122.838,,曲周县,亿元,matched,156130435,2019
2019,,130481,638.1839,,武安市,亿元,matched,156130481,2019
2019,,130502,,,襄都区,亿元,no_data,156130502,2019
2019,,130503,,,信都区,亿元,matched,156130503,2019
2019,,130505,,,任泽区,亿元,no_data,156130505,2019
