county_code,county,ntl_mean,ntl_sum,ntl_max,ntl_median,year
540324,丁青县,0.010846304,632.0910143,30.90335274,0.0,2019
520502,七星关区,0.690304891,10643.48626,109.5133972,0.003649215,2019
450305,七星区,9.657519155,2981.105736,46.69403458,7.862957685,2019
620103,七里河区,3.418176557,6662.441653,55.29737473,0.436677555,2019
130708,万全区,0.507191374,3108.408859,18.68807602,0.0,2019
469006,万宁市,0.709669276,5642.508057,49.35625076,0.000304,2019
360828,万安县,0.051687794,472.4554221,6.350029469,0.0,2019
520603,万山区,0.52232273,1992.364208,52.35446548,0.0,2019
500101,万州区,0.408652693,6577.459005,22.13529587,0.0,2019
361129,万年县,0.292666197,1543.46873,13.66207886,0.0,2019
140109,万柏林区,13.24076525,19373.16076,139.3622589,1.384993639,2019
511781,万源市,0.068800849,1323.979788,38.64596558,5.14e-05,2019
450403,万秀区,1.257958174,2446.190934,24.6774559,0.0,2019
140822,万荣县,0.245032363,1301.615758,9.970763206,0.0,2019
360922,万载县,0.209246856,1648.919386,22.07573509,0.0,2019
350404,三元区,1.156923936,5979.323172,47.91900635,0.00014,2019
610422,三原县,0.961545376,2698.952288,17.72679138,0.484163831,2019
510722,三台县,0.266777803,3320.753845,27.79774857,0.0,2019
440607,三水区,5.951216434,21504.89562,51.50112152,4.372709714,2019
450226,三江侗族自治县,0.095339503,1021.981152,22.08086777,0.0,2019
131082,三河市,4.333830223,14339.28457,56.63241577,1.868686137,2019
522624,三穗县,0.251123605,1155.611742,29.70503426,0.0,2019
522732,三都水族自治县,0.163486929,1731.127828,30.25432205,0.0,2019
331022,三门县,1.169533062,5530.309072,38.48944092,0.633649975,2019
140404,上党区,2.021003631,4851.938338,33.48784637,1.125641825,2019
330102,上城区,38.9980566,21729.41127,73.57328033,40.74348323,2019
450621,上思县,0.104970748,1281.135041,23.02133751,0.0,2019
350823,上杭县,0.55410313,7018.378887,45.15686035,0.000796,2019
450125,上林县,0.178029385,1455.396505,35.76507187,3.25e-05,2019
360322,上栗县,0.63041329,2089.503614,33.83683014,0.0,2019
360724,上犹县,0.184203854,1267.641078,22.58849335,0.0,2019
411722,上蔡县,0.964820836,7006.585667,33.40795517,0.630780864,2019
330604,上虞区,3.396041294,21438.75588,40.43123245,1.615584079,2019
410106,上街区,7.199146903,2183.600068,22.21050453,5.569839636,2019
360923,上高县,0.523357208,3212.725708,39.88510132,0.0,2019
130706,下花园区,1.11619164,1852.829973,34.67158127,0.0,2019
420204,下陆区,8.370386886,2418.450959,21.51016617,7.695700419,2019
652825,且末县,0.010722958,7550.873026,292.9696655,0.00288272,2019
532626,丘北县,0.074174854,1643.058253,27.86444092,0.0,2019
130403,丛台区,5.307366064,10508.7305,53.05208969,2.119764388,2019
220421,东丰县,0.262189412,3602.691244,51.75551605,0.0,2019
